c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,1,Guilherme,guilherme@guilherme.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,2,Elias,elias@elias.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,3,Gabriel,gabriel@gabriel.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,4,Anderson,anderson@anderson.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,5,Alex,alex@alex.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,6,Vini,vini@vini.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,7,Letícia,leticia@leticia.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,8,Giulia,giulia@giulia.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,9,Felipe,felipe@felipe.com.br
c:\Users\Kyros\VSProjects\UdemyPhyton3LuizOtavio\py_alura_prj_io\ex1\src\dados\contatos20220307_073712.log,10,Luísa,luisa@luisa
